ERR10068	SystemError	Platform	Signal	10	Console Event 	Caught signal %1 %{2(%2)}	(no description)
ERR10069	SystemError	Platform	Assertion	10	Console Event 	Assertion: file %1:%2 in %3: assert %4	(no description)
ERR10070	SystemError	Platform	BacktraceBegin	10	Event 	Program failed, %1 elements in stack --------------------------------------------------	(no description)
ERR10071	SystemError	Platform	Backtrace	10	Event 	Stack frame %1: (%2)	(no description)
ERR10072	SystemError	Platform	BacktraceEnd	10	Event 	-end-of-backtrace----------------------------------------------------------------------	(no description)
ERR10073	SystemError	Platform	Trace	10	Event 	Trace Info : %1	(no description)
ERR10074	SystemError	Platform	LogError	8	Console Event 	Malformed log message: %1	(no description)
ERR23289	SystemError	Platform	LogUnknownEvent	8	Console Event 	BUG: Unknown event '%1' is being logged	Logged when there is an internal problem with unknown event codes being sent to the logserver
SYS23041	SystemStatus	Platform	LogNearlyFull	8		%1 log is nearly full, currently %2%% full	Logged when the specified log is at 90% full
SYS24348	SystemStatus	Platform	LogFull	10		%1 log is full	Logged when the specified log is at 100% full and gets rolled over
ADM23247	AdminChange	AuthMsg	addServer	1		Added %1 '%2'	(no description)
ADM23224	AdminChange	AuthMsg	renameServer	1		Changed server name from '%1' to '%2'	(no description)
ADM23225	AdminChange	AuthMsg	removeServer	1		Deleted server '%1'	(no description)
ADM23226	AdminChange	AuthMsg	logNew	1		Server %1: Set %2 to '%3'	(no description)
ADM23227	AdminChange	AuthMsg	logUpdate	1		Server %1: Changed %2 from '%3' to '%4'	(no description)
ADM23534	AdminChange	AuthMsg	ForcedOffUser	1		Forcing off user %1(%2)	(no description)
AUT23355	Authenticate	AuthMsg	PWMGTAcctDisabled	1	WELF 	Account disabled by password management on auth server '%1'	(no description)
AUT23356	Authenticate	AuthMsg	PWMGTAcctLockedOut	1	WELF 	Account locked-out by password management on auth server '%1'	(no description)
AUT23357	Authenticate	AuthMsg	PWMGTAcctExpired	1	WELF 	Account expired by password management on auth server '%1'	(no description)
AUT23358	Authenticate	AuthMsg	FailedLoginAdminsOnly	2	WELF 	Login failed from %1 for %2 because only Administrators are allowed to sign in.	(no description)
AUT23359	AdminLogin	AuthMsg	FailedLoginAdminRecovery	6	WELF 	Administrative sign on for %2 from %1 was rejected because system was locked for recovery	(no description)
AUT23360	AdminLogin	AuthMsg	RejectedInterface	2	WELF 	Login rejected from IP %1. The Sign-In policy does not allow Administrators to sign in on the external interface.	(no description)
AUT24082	AdminLogin	AuthMsg	RejectedInterface2	2	WELF 	Login rejected from IP %1. The authentication policy does not allow Administrators to sign in via the %2 network.	(no description)
AUT24083	Authenticate	AuthMsg	RejectedInterfaceEndUser	2	WELF 	Login rejected from IP %1. End-users are not allowed to sign in via the %2 network.	(no description)
AUT23361	Authenticate	AuthMsg	FailedLoginAllRolesRestricted	4	WELF 	Login failed from %1 for %2/%3.  All roles restricted.	(no description)
AUT23456	Authenticate	AuthMsg	SigninFailedInternalError	8	WELF 	Sign-in process failed, internal error, code %1	(no description)
AUT23457	Authenticate	AuthMsg	SigninRejectLog	1	WELF 	Login failed%{1 using auth server %1}%{2 (%2)}.  Reason: %3	(no description)
AUT23458	AdminLogin	AuthMsg	SigninRejectAdminLog	1	WELF 	Login failed%{1 using auth server %1}%{2 (%2)}.  Reason: %3	(no description)
AUT23459	Authenticate	AuthMsg	NoClientCA	1	WELF 	No trusted client CAs configured	(no description)
ADM23573	AdminLogin	AuthMsg	AdminLogoutPrevSession	1	WELF 	%1/%2 logged out from IP (%3) because user started new session from IP (%4).	(no description)
AUT23574	Authenticate	AuthMsg	LogoutPrevSession	1	WELF 	%1/%2 logged out from IP (%3) because user started new session from IP (%4).	(no description)
AUT24567	Authenticate	AuthMsg	LogoutPrevSessionForSessionLimit	1	WELF 	Session Limit: %1/%2 has the maximum number of sessions running. They have been logged out from IP (%3) in order to start a new session from IP (%4).	(no description)
AUT21097	Authenticate	AuthMsg	RadiusHostUnreachable	6	WELF 	Radius Server %1: Login failed for %2 because host %3 is unreachable.	(no description)
PTR23328	PolicyTrace	AuthMsg	SigninStart	1	WELF 	User "%1" starting sign-in to realm %2	(no description)
PTR23329	PolicyTrace	AuthMsg	SigninResume	1	WELF 	Resuming sign-in process	(no description)
PTR23330	PolicyTrace	AuthMsg	SigninInternalError	1	WELF 	Sign-in process failed, internal error, code %1	(no description)
PTR23331	PolicyTrace	AuthMsg	SigninContextVar	1	WELF 	Sign-in %1 = "%2"	(no description)
PTR23332	PolicyTrace	AuthMsg	SigninIgnorePrompt	1	WELF 	Ignoring sign-in prompt %1 = "%2"	(no description)
PTR23333	PolicyTrace	AuthMsg	SigninSetPrompt	1	WELF 	Sign-in prompt %1 = "%2"	(no description)
PTR23334	PolicyTrace	AuthMsg	SigninReject	1	WELF 	Sign-in rejected%{1 using auth server %1}%{2 (%2)}.  Reason: %3	(no description)
PTR23335	PolicyTrace	AuthMsg	SigninRestart	1	WELF 	Sign-in process restarted: %1	(no description)
PTR23362	PolicyTrace	AuthMsg	SigninSuccess	1	WELF 	Sign-in successful, creating session	(no description)
PTR23336	PolicyTrace	AuthMsg	SigninChangePassword	1	WELF 	Requesting password change as required by auth server "%1".  Sign-in process done.	(no description)
PTR23337	PolicyTrace	AuthMsg	SigninNeedPrompt	1	WELF 	Requesting more sign-in prompts as required by auth server "%1"	(no description)
PTR23338	PolicyTrace	AuthMsg	SigninNeedCertificate	1	WELF 	Requesting client certificate as required%{1 by auth server %1}	(no description)
